District,State,Students,Charter_Percent,ELL_Percent,IEP_Percent,Low_Income_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
PORTSMOUTH,Rhode Island,2464,0,0,0.15,0.140827922,12.89,1.035,0
FORT STOCKTON ISD,Texas,2464,0,0.09,0.06,0.66599026,15.31,0.812,0
JASPER ISD,Texas,2464,0,0.07,0.11,0.742694805,13.81,0.937,0
GENEVA AREA CITY,Ohio,2463,0,0.02,0.15,0.444579781,20.71,0.915,0
TOLLAND SCHOOL DISTRICT,Connecticut,2462,0,0,0.13,0.076766856,13.39,0.954,0
POWELL COUNTY,Kentucky,2461,0,0,0.18,0.764323446,16.68,1.05,1
PLANO CUSD 88,Illinois,2459,0,0.13,0.16,0.577063847,14.98,0.889,0
DEFIANCE CITY,Ohio,2458,0,0,0.16,0.561838893,15.9,0.758,0
HIBBING PUBLIC SCHOOL DISTRICT,Minnesota,2457,0,0,0.19,0.447293447,16.92,0.954,0
VALLEY VIEW SD,Pennsylvania,2456,0,0.01,0.16,0.384771987,14.2,0.964,0
TAYLOR COUNTY SCHOOLS,West Virginia,2456,0,0,0.18,0.441368078,14.93,0.909,1
YAZOO CITY MUNICIPAL SCHOOL DIST,Mississippi,2455,0,0,0.14,1,16.96,0.935,0
CORTLAND CITY SCHOOL DISTRICT,New York,2455,0,0,0.15,0.52790224,11,1.052,0
ERLANGER-ELSMERE INDEPENDENT,Kentucky,2450,0,0.05,0.14,0.707346939,15.68,0.946,1
ELIZABETHTOWN INDEPENDENT,Kentucky,2449,0,0.02,0.14,0.522662311,15.5,0.954,1
WEST ORANGE-COVE CISD,Texas,2449,0,0.06,0.1,0.789301756,14.93,0.857,0
O FALLON TWP HSD 203,Illinois,2447,0,0,0.12,0.238659583,18.25,0.922,0
RICHLAND COUNTY CUSD 1,Illinois,2447,0,0.01,0.15,0.531262771,16.84,0.977,0
RSU 75/MSAD 75,Maine,2447,0,0,0.18,0.37188394,11.84,0.941,0
CUDAHY SCHOOL DISTRICT,Wisconsin,2446,0,0.07,0.17,0.532297629,13.03,1.008,0
ARGYLE ISD,Texas,2445,0,0.02,0.09,0.082617587,14.72,1.712,0
TIPP CITY EXEMPTED VILLAGE,Ohio,2444,0,0.01,0.14,0.192716858,16.86,0.843,0
SCAPPOOSE SD 1J,Oregon,2444,0.29,0.02,0.12,0.277414075,20.45,0.994,0
HART COUNTY,Kentucky,2442,0,0.01,0.21,0.66011466,15.29,0.964,1
STORM LAKE COMM SCHOOL DISTRICT,Iowa,2439,0.2,0.42,0.11,0.724067241,14.64,1.166,0
DANVILLE COMMUNITY SCHOOL CORP,Indiana,2435,0,0.01,0.14,0.263244353,17.78,0.843,0
JERSEY SHORE AREA SD,Pennsylvania,2435,0,0,0.17,0.485010267,13.76,0.994,0
SPRINGFIELD TOWNSHIP SD,Pennsylvania,2435,0,0.02,0.16,0.181519507,14.19,0.95,0
TUSCARORA SD,Pennsylvania,2434,0,0,0.12,0.382908792,16.24,0.931,0
MILLBRAE ELEMENTARY,California,2432,0,0.26,0.1,0.203536184,26.54,1.003,0
ONTARIO SD 8C,Oregon,2432,0,0.1,0.14,0.792351974,19.6,1.004,0
CCSD 146,Illinois,2430,0,0.07,0.16,0.351851852,13.31,0.949,0
SOMERVILLE PUBLIC SCHOOL DISTRICT,New Jersey,2430,0,0.03,0.2,0.281481481,12.3,0.947,0
CELINA ISD,Texas,2429,0,0.05,0.08,0.238781392,15.07,0.882,0
BELLE VERNON AREA SD,Pennsylvania,2427,0,0,0.15,0.354758962,16.3,1.003,0
CARY CCSD 26,Illinois,2426,0,0.08,0.17,0.248557296,15.62,0.866,0
PENDLETON COUNTY,Kentucky,2426,0,0.01,0.16,0.628194559,17.84,0.94,1
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,2425,0,0.14,0.1,0.487835052,15.2,0.967,0
GONZALES UNIFIED,California,2424,0,0.47,0.1,0.826732673,22.54,0.89,0
SHAWNEE LOCAL,Ohio,2424,0,0,0.09,0.289191419,18.26,1.07,0
CHARLOTTE PUBLIC SCHOOLS,Michigan,2423,0,0.01,0.12,0.538461538,17.79,0.936,0
JASPER COUNTY,Georgia,2422,0,0.02,0.11,0.677126342,15.43,0.982,0
PITTSBURG ISD,Texas,2421,0,0.17,0.1,0.762494837,11.6,0.956,0
SHOW LOW UNIFIED DISTRICT,Arizona,2420,0,0.02,0.14,0.620247934,19.04,0.904,1
NEW PROVIDENCE BOARD OF EDUCATION,New Jersey,2420,0,0.02,0.13,0.042975207,13.45,0.987,0
WOODLAND SCHOOL DISTRICT,Washington,2420,0,0.07,0.12,0.462396694,19.77,1.389,0
HUNTSVILLE SCHOOL DISTRICT,Arkansas,2419,0,0.07,0.12,0.412153783,14.36,0.99,0
GILMER ISD,Texas,2418,0,0.07,0.08,0.679073615,13.56,0.949,0
BELLEFONTAINE CITY,Ohio,2417,0,0,0.19,0.489449731,14.23,0.901,0
AMBRIDGE AREA SD,Pennsylvania,2416,0,0,0.19,0.389486755,13.63,0.913,0
MARCUM-ILLINOIS UNION ELEMENTARY,California,2415,0.5,0.01,0.07,0.376397516,23.32,0.894,0
BIDDEFORD PUBLIC SCHOOLS,Maine,2414,0,0.07,0.2,0.55923778,11.58,0.94,0
POLK COUNTY,Tennessee,2414,0,0,0.13,0.831233933,14.83,0.971,0
HAWTHORNE PUBLIC SCHOOL DISTRICT,New Jersey,2413,0,0.02,0.2,0.27310402,12.36,0.958,0
LANSINGBURGH CENTRAL SCHOOL DISTRICT,New York,2413,0,0.02,0.18,0.638209697,12.5,0.952,0
MITCHELL COUNTY,Georgia,2412,0.2,0.02,0.1,1,13.08,0.979,0
CENTRAL VALLEY CSD AT ILION-MOHAWK,New York,2412,0,0,0.16,0.533167496,13.1,0.526,0
CHELSEA SCHOOL DISTRICT,Michigan,2410,0,0.01,0.11,0.582887701,17.31,0.912,0
LAKEWOOD SCHOOL DISTRICT,Washington,2410,0,0.05,0.14,0.365975104,22.14,1.049,0
BLACKHAWK SD,Pennsylvania,2409,0,0,0.15,0.265670403,15.71,0.998,0
BOURBONNAIS SD 53,Illinois,2407,0,0.02,0.15,0.457000415,16.65,1.012,0
BELGRADE ELEM,Montana,2407,0,0.01,0.09,0.325301205,15.78,0.929,0
NEW RICHMOND EXEMPTED VILLAGE,Ohio,2407,0,0,0.16,0.425841296,16.84,0.972,0
SUMMIT ACADEMY,Utah,2406,1,0.02,0.09,0.511695906,21.8,1.095,0
WEST NOBLE SCHOOL CORPORATION,Indiana,2405,0,0.18,0.13,0.599168399,16.27,0.969,0
MONROE SCHOOL DISTRICT,Wisconsin,2405,0,0.03,0.14,0.191666667,13.57,0.961,0
HILMAR UNIFIED,California,2403,0,0.23,0.1,0.550561798,21.51,0.979,0
WILLS POINT ISD,Texas,2403,0,0.07,0.11,0.652517686,13.25,0.931,0
RIDGELAND SD 122,Illinois,2402,0,0.26,0.15,0.675686928,16.02,0.896,0
ELIDA LOCAL,Ohio,2401,0,0.01,0.12,0.509787589,18.34,0.844,0
AUBREY ISD,Texas,2401,0,0.04,0.08,0.285297793,16.65,0.854,0
GILES CO PBLC SCHS,Virginia,2401,0,0,0.16,0.488546439,13.55,0.955,0
ROCKAWAY TOWNSHIP SCHOOL DISTRICT,New Jersey,2400,0,0.01,0.21,0.1325,10.28,0.96,0
EASTERN LEBANON COUNTY SD,Pennsylvania,2400,0,0,0.18,0.28375,14.81,0.886,0
PRENTISS CO SCHOOL DIST,Mississippi,2399,0,0,0.21,0.761150479,12.61,0.981,0
THOMASVILLE CITY SCHOOLS,North Carolina,2399,0,0.1,0.12,0.971654856,14.98,1.018,0
LEXINGTON LOCAL,Ohio,2399,0,0.01,0.13,0.252605252,18.97,0.862,0
ESTILL COUNTY,Kentucky,2398,0,0,0.14,0.693911593,16.4,0.959,1
GLASGOW INDEPENDENT,Kentucky,2395,0,0.05,0.17,0.638413361,15.16,0.91,1
WINN PARISH,Louisiana,2393,0,0,0.15,0.730045967,13.05,0.953,0
BYRAM HILLS CENTRAL SCHOOL DISTRICT,New York,2393,0,0,0.15,0.034266611,10.65,0.942,0
LEFLORE CO SCHOOL DIST,Mississippi,2392,0,0.03,0.13,1,15.99,0.961,0
MEXICO 59,Missouri,2392,0,0.04,0.09,0.766304348,12.65,0.947,0
BOAZ CITY,Alabama,2389,0,0.07,0.05,0.674759314,18.44,1.029,0
TEMPLETON UNIFIED,California,2388,0,0.05,0.07,0.156197655,22.32,1.198,0
WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-8,Colorado,2388,0,0.22,0.11,0.596314908,17.12,1.096,1
MACONAQUAH SCHOOL CORP,Indiana,2388,0,0.01,0.18,0.56281407,19.72,0.837,0
NEW FAIRFIELD SCHOOL DISTRICT,Connecticut,2387,0,0.01,0.1,0.080016757,12.35,0.96,0
DEQUEEN SCHOOL DISTRICT,Arkansas,2386,0,0.51,0.08,0.421626153,14.3,0.968,0
HUDSON FALLS CENTRAL SCHOOL DISTRICT,New York,2386,0,0.01,0.2,0.526823135,13.58,0.92,0
TALLMADGE CITY,Ohio,2386,0,0.01,0.13,0.268650461,17.78,0.921,0
CRAWFORDSVILLE COMMUNITY SCHOOLS,Indiana,2384,0,0.07,0.22,0.651006711,14.74,0.943,0
CLEARVIEW REGIONAL HIGH SCHOOL DISTRICT,New Jersey,2384,0,0,0.14,0.127516779,13.76,0.939,0
SMITHFIELD,Rhode Island,2384,0,0.01,0.14,0.14135906,12.15,0.995,0
STANISLAUS COUNTY OFFICE OF EDUCATION,California,2381,0.38,0.11,0.01,0.600587988,17.8,1.017,0
HARDY COUNTY SCHOOLS,West Virginia,2381,0,0.06,0.17,0.438051239,15.51,1.133,1
RIDGEFIELD PARK SCHOOL DISTRICT,New Jersey,2379,0,0.04,0.14,0.393862968,13.58,0.984,0
KNOTT COUNTY,Kentucky,2376,0,0,0.23,0.773569024,15.28,0.926,1
LEHIGHTON AREA SD,Pennsylvania,2376,0,0.01,0.16,0.483164983,13.58,0.935,0
LIBERTYVILLE SD 70,Illinois,2375,0,0.02,0.08,0.054736842,13.91,1.031,0
GREENSBURG COMMUNITY SCHOOLS,Indiana,2373,0,0.01,0.18,0.455120101,18.17,0.975,0
GRIFFITH PUBLIC SCHOOLS,Indiana,2373,0,0.01,0.14,0.536030341,16.83,0.858,0
CASCADE SD 5,Oregon,2373,0,0.03,0.14,0.421828909,19.48,0.988,0
BUHLER,Kansas,2372,0,0.02,0.14,0.3806914,15.89,1.673,0
MONETT R-I,Missouri,2372,0,0.19,0.16,0.586424958,13.3,0.982,0
MOUNT PLEASANT ELEMENTARY,California,2371,0.2,0.47,0.16,0.751159848,22.85,1.078,0
OCTORARA AREA SD,Pennsylvania,2371,0,0.03,0.2,0.382960776,15.79,0.939,0
RSU 22,Maine,2368,0,0,0.18,0.304054054,14.57,0.89,0
BENNINGTON PUBLIC SCHOOLS,Nebraska,2367,0,0.01,0.12,0.097591888,16.59,0.962,0
LAMAR COUNTY,Alabama,2366,0,0.01,0.09,0.696637427,17.79,0.98,0
LEDYARD SCHOOL DISTRICT,Connecticut,2366,0,0.01,0.17,0.226542688,13.87,0.988,0
ASBURY PARK SCHOOL DISTRICT,New Jersey,2366,0,0.07,0.2,0.714708369,10.93,1.019,0
WESTONKA PUBLIC SCHOOL DISTRICT,Minnesota,2365,0,0.01,0.17,0.167019027,17.62,1.24,0
ROYAL ISD,Texas,2365,0.2,0.37,0.08,0.812684989,14.25,0.965,0
ANTIGO UNIFIED SCHOOL DISTRICT,Wisconsin,2364,0,0.02,0.17,0.498730964,15.22,1.002,0
TUNKHANNOCK AREA SD,Pennsylvania,2363,0,0,0.17,0.454083792,12.2,0.929,0
CONNALLY ISD,Texas,2363,0,0.08,0.08,0.7685146,13.61,1.006,0
WESTON SCHOOL DISTRICT,Connecticut,2362,0,0.01,0.1,0.022438611,12.42,0.937,0
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,2361,0.22,0.03,0.12,0.402795426,15.86,0.965,0
CHANDLER PARK ACADEMY,Michigan,2361,1,0,0.04,0.886488776,23.49,0.963,0
LARUE COUNTY,Kentucky,2360,0,0.01,0.17,0.611864407,15.84,0.956,1
WESTERN SCHOOL CORPORATION,Indiana,2358,0,0.01,0.13,0.351993215,14.5,0.992,0
MONROE CO SCHOOL DIST,Mississippi,2358,0,0,0.18,0.573791349,12.63,0.926,0
EATON RAPIDS PUBLIC SCHOOLS,Michigan,2356,0,0,0.15,0.514431239,17.1,1.035,0
WAYNE COUNTY,Tennessee,2356,0,0,0.18,0.767205266,13.58,0.995,0
CESAR CHAVEZ ACADEMY,Michigan,2354,1,0.64,0.11,0.909090909,17.81,0.963,0
WELD COUNTY SCHOOL DISTRICT RE-3J,Colorado,2352,0.17,0.13,0.11,0.428146259,16.54,0.898,1
REGIONAL SCHOOL DISTRICT 10,Connecticut,2352,0,0.01,0.12,0.051020408,12.21,0.965,0
VAN ISD,Texas,2352,0,0.06,0.11,0.504676871,15.76,0.906,0
RIVER DELTA JOINT UNIFIED,California,2350,0.08,0.26,0.13,0.495744681,23.69,0.832,0
HAMPTON 01,South Carolina,2350,0,0.01,0.1,1,14.73,0.977,0
NORTHERN WELLS COMMUNITY SCHOOLS,Indiana,2349,0,0.02,0.16,0.296296296,17.56,0.925,0
PLAINVILLE SCHOOL DISTRICT,Connecticut,2347,0,0.04,0.14,0.311887516,12.04,0.957,0
WAGONER,Oklahoma,2346,0,0,0.17,0.736999147,15.79,0.86,1
NEW LONDON SCHOOL DISTRICT,Wisconsin,2346,0.25,0.04,0.16,0.341858483,16.33,0.907,0
HENDRICK HUDSON CENTRAL SCHOOL DISTRICT,New York,2345,0,0.02,0.16,0.254157783,10.99,0.961,0
MARLINGTON LOCAL,Ohio,2345,0,0.03,0.12,0.449466951,17.92,0.979,0
BURRILLVILLE,Rhode Island,2341,0,0,0.15,0.33190944,13.35,0.963,0
ANSONIA SCHOOL DISTRICT,Connecticut,2340,0,0.03,0.23,0.668803419,14.27,0.902,0
MIDDLETOWN AREA SD,Pennsylvania,2340,0,0.02,0.18,0.546581197,12.58,1.245,0
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,2339,0,0.12,0.11,0.630611372,17.7,0.986,1
NORWICH FREE ACADEMY,Connecticut,2338,0,0.06,0.11,0.47647562,14.33,8.28,0
CASEY COUNTY,Kentucky,2338,0,0.02,0.15,0.73823781,15.91,0.945,1
OTSEGO PUBLIC SCHOOLS,Michigan,2337,0,0,0.08,0.31750107,20.08,0.954,0
NILES CITY,Ohio,2334,0,0,0.15,0.640531277,15.99,0.917,0
MOUNT SINAI UNION FREE SCHOOL DISTRICT,New York,2333,0,0.01,0.14,0.058722675,13.53,0.975,0
SAVANNA ELEMENTARY,California,2331,0,0.42,0.14,0.652509653,23.31,1.154,0
CLARK TOWNSHIP PUBLIC SCHOOLS,New Jersey,2331,0,0.01,0.2,0.064779065,12.91,0.944,0
MADISON COUNTY SCHOOLS,North Carolina,2331,0,0.01,0.15,0.529386529,13.22,0.99,0
FLOSSMOOR SD 161,Illinois,2330,0,0.04,0.13,0.463090129,14.24,1.204,0
PERRYTON ISD,Texas,2330,0,0.27,0.07,0.621030043,11.75,1.048,0
PAYSON UNIFIED DISTRICT,Arizona,2329,0,0.01,0.16,0.46887076,18.9,0.867,1
SO. CONWAY CO. SCHOOL DISTRICT,Arkansas,2328,0,0.03,0.12,0.641752577,14.28,0.989,0
SCREVEN COUNTY,Georgia,2328,0,0.01,0.18,0.79209622,14.33,0.952,0
MONAHANS-WICKETT-PYOTE ISD,Texas,2327,0,0.08,0.08,0.483025355,16.19,0.888,0
PLEASANT HILL R-III,Missouri,2326,0,0.01,0.1,0.18916595,16.87,0.896,0
BLAIR COMMUNITY SCHOOLS,Nebraska,2326,0,0.01,0.15,0.249355116,15.75,0.992,0
SPEARFISH SCHOOL DISTRICT 40-2,South Dakota,2326,0,0,0.13,0.260963027,14.67,0.943,0
DOS PALOS ORO LOMA JOINT UNIFIED,California,2325,0,0.27,0.12,0.869677419,22.97,1.162,0
WEBSTER COUNTY,Kentucky,2325,0,0.08,0.14,0.618494624,18.75,0.969,1
CHICKASHA,Oklahoma,2325,0,0.02,0.17,0.769032258,16.63,1.084,1
CHINO VALLEY UNIFIED DISTRICT,Arizona,2324,0,0.05,0.14,0.686316695,21.03,0.993,1
POTEAU,Oklahoma,2324,0,0.08,0.17,0.684165232,15.92,1.03,1
MORGAN COUNTY SCHOOLS,West Virginia,2323,0,0.01,0.16,0.412397762,14.23,0.989,1
RSU 09,Maine,2321,0,0,0.17,0.479534683,11.93,0.876,0
NORRIS SCHOOL DIST 160,Nebraska,2321,0,0.01,0.09,0.153813012,16.62,0.954,0
DASSEL-COKATO PUBLIC SCHOOL DIST.,Minnesota,2319,0,0.01,0.13,0.282018111,16.98,1.081,0
MADISONVILLE CISD,Texas,2319,0,0.13,0.07,0.683915481,14.09,0.844,0
JEFFERSON ELEMENTARY,California,2317,0,0.18,0.09,0.255502805,21.75,1.713,0
FULTON 58,Missouri,2314,0,0.01,0.12,0.549265341,14.56,0.944,0
FABENS ISD,Texas,2314,0,0.42,0.12,0.948573898,13.4,0.989,0
EAST PORTER COUNTY SCHOOL CORP,Indiana,2313,0,0,0.16,0.211413748,15.44,0.865,0
SWEET HOME SD 55,Oregon,2313,0.14,0.01,0.19,0.621271077,19.65,0.989,0
FLEMING COUNTY,Kentucky,2312,0,0.01,0.14,0.652681661,16.4,0.879,1
RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,New Jersey,2312,0,0,0.16,0.019031142,10.93,0.885,0
GREAT HEARTS TEXAS,Texas,2312,1,0.05,0.04,0.112024221,18.59,0.647,0
UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,New Jersey,2310,0,0.01,0.19,0.088744589,11.92,0.96,0
MOUNT PROSPECT SD 57,Illinois,2304,0,0.06,0.14,0.098524306,16.84,0.988,0
TWIN LAKES SCHOOL CORP,Indiana,2304,0,0.05,0.13,0.485243056,15,0.95,0
NORTH SANTIAM SD 29J,Oregon,2304,0,0.05,0.16,0.520833333,19.14,1.718,0
APPOMATTOX CO PBLC SCHS,Virginia,2304,0,0,0.1,0.444444444,15.26,1.204,0
WIMBERLEY ISD,Texas,2303,0,0.06,0.09,0.237082067,14.5,1.415,0
ROBINSON ISD,Texas,2302,0,0.02,0.09,0.331016507,12.99,1.092,0
COLCHESTER SCHOOL DISTRICT,Vermont,2302,0,0.03,0.12,0.273675065,13.43,1.01,0
ROCHESTER SCHOOL DISTRICT,Washington,2301,0,0.06,0.16,0.423324589,18,0.945,0
WINFIELD,Kansas,2300,0,0.04,0.21,0.538695652,13.46,0.946,0
PONTOTOC CITY SCHOOLS,Mississippi,2300,0,0.08,0.15,0.663913043,15,0.987,0
BRISTOL CITY PBLC SCHS,Virginia,2299,0,0.01,0.15,0.737712049,13.47,0.968,0
MIAMI,Oklahoma,2297,0,0.06,0.14,0.660861994,17.13,0.994,1
RHINELANDER SCHOOL DISTRICT,Wisconsin,2297,0.29,0,0.13,0.439703962,13.94,0.915,0
DEMOPOLIS CITY,Alabama,2296,0,0.02,0.06,0.650696864,17.43,1.078,0
NORTHERN LEBANON SD,Pennsylvania,2293,0,0.01,0.21,0.204971653,14.96,0.953,0
BERTIE COUNTY SCHOOLS,North Carolina,2292,0,0.01,0.15,0.970767888,15.37,1.111,0
BUCKEYE LOCAL,Ohio,2292,0,0,0.11,0.555362319,19.47,0.808,0
BATAVIA CITY SCHOOL DISTRICT,New York,2291,0,0.01,0.13,0.5534701,10.67,1.021,0
DANVILLE AREA SD,Pennsylvania,2291,0,0.01,0.19,0.323876037,12.19,1.013,0
FIREBAUGH-LAS DELTAS UNIFIED,California,2290,0,0.37,0.09,0.876419214,21.45,1.041,0
FORREST COUNTY SCHOOL DISTRICT,Mississippi,2289,0,0.02,0.21,0.799912626,12.64,0.97,0
PERRY CO. 32,Missouri,2289,0,0.03,0.16,0.546526868,12.86,0.968,0
WHITEVILLE CITY SCHOOLS,North Carolina,2289,0,0.04,0.11,0.982088248,14.77,1.024,0
BEACH PARK CCSD 3,Illinois,2288,0,0.16,0.16,0.489947552,15.45,0.917,0
FRANKTON-LAPEL COMMUNITY SCHOOLS,Indiana,2288,0,0.01,0.16,0.47770979,14.38,0.832,0
LOGAN-ROGERSVILLE R-VIII,Missouri,2288,0,0.01,0.1,0.345716783,14.91,0.904,0
CLEARFIELD AREA SD,Pennsylvania,2288,0,0,0.25,0.501748252,13.21,1.076,0
EMERY DISTRICT,Utah,2287,0,0.02,0.2,0.482291211,21.8,1.037,0
ROCHESTER CUSD 3A,Illinois,2285,0,0.01,0.13,0.136105033,17.84,0.977,0
ROBLA ELEMENTARY,California,2284,0.14,0.41,0.13,0.918126095,25.45,0.949,0
SCHOOL DISTRICT NO. RE-1 VALLEY,Colorado,2284,0,0.04,0.11,0.502189142,16.37,1.235,1
NORTHERN VALLEY REGIONAL HIGH SCHOOL DISTRICT,New Jersey,2284,0,0.01,0.17,0.009194396,9.49,0.964,0
LA GRANDE SD 1,Oregon,2284,0,0.03,0.15,0.51619965,19.69,1.035,0
PLYMOUTH JOINT SCHOOL DISTRICT,Wisconsin,2284,0,0.01,0.12,0.228108581,15.55,0.966,0
DORCHESTER 04,South Carolina,2283,0,0.02,0.19,1,13.3,1.007,0
SHELLEY JOINT DISTRICT,Idaho,2281,0,0.04,0.1,0.427444103,20.71,0.927,0
GREATER NANTICOKE AREA SD,Pennsylvania,2281,0,0.01,0.24,0.607628233,17.55,0.985,0
APTAKISIC-TRIPP CCSD 102,Illinois,2280,0,0.21,0.13,0.091666667,13.86,0.985,0
MAUMEE CITY,Ohio,2280,0,0.01,0.16,0.359649123,16.35,0.917,0
SEYMOUR COMMUNITY SCHOOL DISTRICT,Wisconsin,2280,0,0.01,0.13,0.278508772,16.51,0.98,0
ISLAND TREES UNION FREE SCHOOL DISTRICT,New York,2279,0,0.03,0.13,0.227292672,12.06,0.987,0
WOLCOTT SCHOOL DISTRICT,Connecticut,2278,0,0.02,0.12,0.342960289,11.84,0.958,0
BREMEN CITY,Georgia,2278,0,0,0.09,0.223002634,16.74,1.008,0
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,2278,1,0.01,0.05,0.775680421,40.67,0.777,0
SPENCER VALLEY ELEMENTARY,California,2276,0.67,0,0.12,0.522407733,20.89,0.881,0
BUTLER COUNTY,Kentucky,2276,0,0.04,0.17,0.583040422,17.78,0.938,1
RUSSELL INDEPENDENT,Kentucky,2275,0,0,0.13,0.465054945,17.16,0.934,1
SYLACAUGA CITY,Alabama,2274,0,0.01,0.07,0.564204046,17.1,0.979,0
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,2273,0.25,0.24,0.13,0.666959965,26.54,0.826,0
PLAINFIELD SCHOOL DISTRICT,Connecticut,2273,0,0.01,0.14,0.074468085,12.7,1,0
MILFORD SCHOOL DISTRICT,New Hampshire,2273,0,0.01,0.15,0.197976243,13.15,0.978,0
SHOREHAM-WADING RIVER CENTRAL SCHOOL DISTRICT,New York,2272,0,0.01,0.17,0.050176056,11.94,0.939,0
SUFFIELD SCHOOL DISTRICT,Connecticut,2271,0,0.01,0.13,0.114046675,12.19,0.963,0
PIPER-KANSAS CITY,Kansas,2270,0,0.03,0.08,0.186784141,16.94,0.933,0
SALUDA 01,South Carolina,2270,0,0.27,0.16,0.875770925,15.14,0.955,0
CARPINTERIA UNIFIED,California,2269,0,0.37,0.11,0.609519612,21.01,1.012,0
SAVANNAH R-III,Missouri,2269,0,0.01,0.14,0.392684002,13.65,0.915,0
BATAVIA LOCAL,Ohio,2269,0,0.01,0.16,0.452622301,18.21,0.923,0
WHITERIVER UNIFIED DISTRICT,Arizona,2266,0,0.03,0.15,1.005295675,17.09,0.906,1
MCHENRY CHSD 156,Illinois,2265,0,0.03,0.14,0.311699779,16.85,0.877,0
SEAFORD UNION FREE SCHOOL DISTRICT,New York,2265,0,0.01,0.18,0.103752759,10.98,0.962,0
FALLBROOK UNION HIGH,California,2264,0,0.13,0.13,0.567137809,20.9,0.943,0
BRUNSWICK PUBLIC SCHOOLS,Maine,2263,0,0.01,0.17,0.330092797,10.69,0.905,0
WYOMING AREA SD,Pennsylvania,2263,0,0,0.2,0.405214317,16.07,0.99,0
BIENVILLE PARISH,Louisiana,2262,0,0,0.1,0.702917772,8.69,1.003,0
METUCHEN PUBLIC SCHOOL DISTRICT,New Jersey,2261,0,0.01,0.19,0.084918178,13.03,0.954,0
WEATHERFORD,Oklahoma,2261,0,0.05,0.11,0.452896948,16.94,0.944,1
IROQUOIS CENTRAL SCHOOL DISTRICT,New York,2259,0,0,0.17,0.174413457,12.66,0.987,0
LE MARS COMM SCHOOL DISTRICT,Iowa,2258,0,0.04,0.13,0.308680248,16.52,0.938,0
NEWCASTLE ELEMENTARY,California,2257,0.83,0.01,0.09,0.114311032,21.96,1.002,0
SPRINGFIELD PUBLIC SCHOOL DISTRICT,New Jersey,2257,0,0.01,0.16,0.114311032,13.42,0.924,0
HARDIN-JEFFERSON ISD,Texas,2257,0,0.03,0.08,0.390341161,14.75,0.924,0
POLK COUNTY SCHOOLS,North Carolina,2256,0,0.02,0.13,0.725177305,12.33,1.043,0
BLAINE SCHOOL DISTRICT,Washington,2256,0,0.04,0.15,0.457446809,18.8,0.898,0
RABUN COUNTY,Georgia,2255,0,0.05,0.13,0.664745011,13.47,0.864,0
BENTON HARBOR AREA SCHOOLS,Michigan,2254,0,0.03,0.17,0.716947649,22.08,0.943,0
CLAYTON,Missouri,2254,0,0.03,0.14,0.832317073,9.54,0.898,0
RICE LAKE AREA SCHOOL DISTRICT,Wisconsin,2254,0.13,0.02,0.15,0.396184561,13.2,1.462,0
GOFFSTOWN SCHOOL DISTRICT,New Hampshire,2253,0,0.02,0.16,0.207723036,10.5,0.979,0
GENEVA CITY SCHOOL DISTRICT,New York,2253,0,0.09,0.16,0.585441633,10.83,0.907,0
RANDOLPH COUNTY,Alabama,2251,0,0.02,0.1,1,16.74,0.996,0
BANDERA ISD,Texas,2251,0,0.04,0.11,0.535317637,15.68,0.942,0
PELLA COMM SCHOOL DISTRICT,Iowa,2250,0,0.01,0.11,0.200444444,14.68,1.396,0
NEW PALTZ CENTRAL SCHOOL DISTRICT,New York,2249,0,0.03,0.18,0.242329924,12.64,0.965,0
WEST LAFAYETTE COM SCHOOL CORP,Indiana,2248,0,0.05,0.11,0.170373665,16.53,0.896,0
KELLOGGSVILLE PUBLIC SCHOOLS,Michigan,2248,0,0.25,0.12,0.783362989,19.43,0.939,0
PEARSALL ISD,Texas,2247,0,0.05,0.1,0.812639074,13.45,0.864,0
CHEEKTOWAGA-MARYVALE UNION FREE SCHOOL DISTRICT,New York,2246,0,0.05,0.17,0.452804987,14.16,1.09,0
SAULT STE. MARIE AREA SCHOOLS,Michigan,2244,0,0,0.14,0.489750446,18.41,1.039,0
WARREN COUNTY SCHOOLS,North Carolina,2244,0,0.02,0.16,0.986631016,14.75,1.007,0
ALLEGHANY CO PBLC SCHS,Virginia,2244,0,0,0.14,0.500891266,13.58,0.954,0
DELAVAN-DARIEN SCHOOL DISTRICT,Wisconsin,2240,0,0.17,0.18,0.671428571,14.33,0.958,0
BELLVILLE ISD,Texas,2239,0,0.08,0.09,0.471639125,13.88,0.884,0
NORTH HARRISON COM SCHOOL CORP,Indiana,2237,0,0,0.19,0.452838623,19.85,0.959,0
BYRON UNION ELEMENTARY,California,2234,0.25,0.05,0.14,0.318263205,21.34,0.979,0
CASTAIC UNION,California,2234,0,0.12,0.13,0.277529096,26.02,1.018,0
